doc_id,text,
188,"#NedirNeDeğildir'de @afsinyurdakul moderatörlüğünde @Ahmet_K_Han, @Arastirma ve @ersoyakif1'in konukları @ilterturan9 ve @cetiner_cetin https://t.co/1tuCdSkLfV",
189,"Dadı, baktığı iki çocuğu öldürdü... Mahkeme 'şeytan' diye tanımladı... https://t.co/Yulke65wrR https://t.co/syQ9VRY9Kv",
190,Araç sahiplerine kötü haber! Benzin ve motorine büyük zam... https://t.co/8N1CKheeKg https://t.co/ngSc8mnRJw,
191,İstanbul'da trafik yoğunluğu son 3 yılda... https://t.co/LdUn8C6f1l https://t.co/v4pRTVBtQv,
192,Kızına cinsel istismarda bulunup başka erkeklerle ilişkiye girmeye zorladı... https://t.co/mo0BkFsWXa https://t.co/01mHRYNh90,
193,23 dilde konuşan Robot Elias Türkiye'de! https://t.co/qFWbo8NT2f https://t.co/3Vb3oOhy0P,
194,"#TekeTek'te @FatihAltayli'nın konukları Prof.Dr. Erdinç Yazıcı, @murat_somer, Elif Dördüncü Aydemir ve @mustafasenbd https://t.co/WmjAdgqGli",
195,Atatürk Havalimanı'nda seçim hazırlıkları başladı... https://t.co/SrA90PY6Vd https://t.co/cOv4auXZWG,
196,Ölüm teğet geçti... Saliselerle kurtuldu! https://t.co/hCVdb5Mbmf https://t.co/az6KUfLZYd,
197,'Milenyum çocukları' 24 Haziran'da ilk kez sandık başında... https://t.co/KMREibz9f0 https://t.co/XUQbP84Rp5,
198,Sivas'ta ilginç olay! 130 yıl sonra ilk defa gelin verdiler... https://t.co/PaPo6HYaCk https://t.co/SsCWJegyp0,
